,count,imdb_keys,movie_titles,average_domroi,domroilist,average_worldroi,worldroilist
christmas party,3,"['tt1711525', 'tt3530002', 'tt1268799']","['Office Christmas Party', 'The Night Before', 'A Very Harold & Kumar 3D Christmas']",0.5638453240740741,"[0.2170554222222222, 0.721429, 0.75305155]",0.9799292448148149,"[1.0294066444444443, 1.09709384, 0.81328725]"
horror movie remake,3,"['tt0837563', 'tt2059171', 'tt1242432']","['Pet Sematary', '13 Sins', 'I Spit on Your Grave']",-0.11286886507936504,"[1.6059379047619051, -0.9977165000000001, -0.9468280000000001]",0.985594380952381,"[4.214340285714286, -0.9881120000000001, -0.2694451428571429]"
fictional war,3,"['tt0803096', 'tt1535108', 'tt2328813']","['Warcraft', 'Elysium', 'Trudno byt bogom']",-0.641643385813492,"[-0.70483965625, -0.2245823583333333, -0.9955081428571428]",0.6834369731150792,"[1.65951425625, 1.3849340916666666, -0.9941374285714286]"
aunt,3,"['tt0493949', 'tt0961108', 'tt1640484']","['Ramona and Beezus', 'Fireflies in the Garden', 'Jumping the Broom']",1.3589969095238095,"[0.7444668000000001, -0.9953895, 4.327913428571429]",1.576978551984127,"[0.8313080666666667, -0.551601125, 4.4512287142857145]"
medieval times,3,"['tt0955308', 'tt2631186', 'tt2328813']","[imdbcode
tt0955308    Robin Hood
tt0955308    Robin Hood
Name: movie, dtype: object, 'Baahubali: The Beginning', 'Trudno byt bogom']",,"[-0.83155, -0.9955081428571428]",,"[-0.331583375, -0.9941374285714286]"
speech,3,"['tt0947810', 'tt4555426', 'tt1321860']","['Green Zone', 'Darkest Hour', 'The Beaver']",-0.23911998777777785,"[-0.64502663, 0.8814373333333333, -0.9537706666666668]",1.080807819047619,"[-0.024769799999999998, 4.026905733333333, -0.7597124761904762]"
female warrior,3,"['tt1217209', 'tt2015381', 'tt1343727']","['Brave', 'Guardians of the Galaxy', 'Dredd']",0.1801823658953071,"[0.2826063891891892, 0.9598359529411764, -0.7018952444444444]",1.8179634338338342,"[1.997873145945946, 3.5345148, -0.07849764444444443]"
birthday party,3,"['tt4501244', 'tt1698641', 'tt1636826']","['Why Him?', 'Alexander and the Terrible, Horrible, No Good, Very Bad Day', 'Project X']",1.8465588032581453,"[0.587468052631579, 1.391219607142857, 3.56098875]",4.09883561299081,"[2.0901356842105265, 2.6206888214285717, 7.585682333333334]"
man wears a tank top,3,"['tt4501244', 'tt3960412', 'tt4832640']","['Why Him?', 'Popstar: Never Stop Never Stopping', 'Sultan']",-0.1428848157894737,"[0.587468052631579, -0.5251935000000001, -0.490929]",2.400808773524721,"[2.0901356842105265, -0.5231439999999999, 5.6354346363636365]"
river,3,"['tt1979388', 'tt1935179', 'tt3808342']","['The Good Dinosaur', 'Mud', 'Saul fia']",0.2869308839215687,"[-0.34353536, 1.1590086000000002, 0.04531941176470588]",2.54655113048366,"[0.7801121973333334, 2.1556959, 4.703845294117646]"
city,3,"['tt2872750', 'tt3183630', 'tt4462082']","['Shaun the Sheep', 'O Menino e o Mundo', 'Counting']",-0.5995075733333334,"[-0.22496072, -0.741042, -0.83252]",0.6021401466666666,"[3.07700644, -0.438066, -0.83252]"
machine gun,3,"['tt6565702', 'tt1320253', 'tt1641841']","['Dark Phoenix', 'The Expendables', 'Skin Trade']",-0.540250212543554,"[-0.8778218571428571, 0.2569332195121951, -0.999862]",0.23319784204413488,"[-0.5721075714285714, 2.271563097560976, -0.999862]"
orc,3,"['tt0903624', 'tt2310332', 'tt0803096']","['The Hobbit: An Unexpected Journey', 'The Hobbit: The Battle of the Five Armies', 'Warcraft']",-0.15744874408333334,"[0.212014272, 0.020479152, -0.70483965625]",2.50327967075,"[3.068014272, 2.782310484, 1.65951425625]"
female singer',3,"['tt1673697', 'tt3614530', 'tt3766394']","['The Sapphires', 'Jem and the Holograms', 'Hello, My Name is Doris']",4.051415185185185,"[-0.7276814444444445, -0.563072, 13.444999]",4.800868651851852,"[1.2661155555555557, -0.5262126, 13.662703]"
kissing in public,3,"['tt0429493', 'tt1333125', 'tt1695994']","['The A-Team', 'Movie 43', 'The Virginity Hit']",-0.3651942060606061,"[-0.29798091818181816, -0.11595470000000001, -0.681647]",0.6820370242424244,"[0.6112833727272727, 2.1164747000000004, -0.681647]"
riot,3,"['tt5109784', 'tt1018765', 'tt5834262']","['mother!', 'Our Brand is Crisis', 'Hotel Artemis']",-0.5697922166666668,"[-0.40666653333333336, -0.74991925, -0.5527908666666667]",-0.14158745555555555,"[0.41770253333333335, -0.6930515, -0.1494134]"
assumed identity,3,"['tt1893256', 'tt1285309', 'tt1629705']","['Redemption', 'The Joneses', 'Blackthorn']",-0.9354206373590984,"[-0.9984049565217392, -0.8524254000000001, -0.9554315555555556]",-0.5947700893719807,"[-0.4089794347826087, -0.6458435, -0.7294873333333334]"
based on short story,3,"['tt2543164', 'tt2936180', 'tt1015471']","['Arrival', 'Loin des hommes', 'The Sisterhood of Night']",-0.28438581993184114,"[1.1392795531914894, -0.999307012987013, -0.99313]",0.4896851365939027,"[3.3218700851063834, -0.8596846753246753, -0.99313]"
