,0,1,2,3,4,5,6
tt5848272,"['Phil Johnston', 'Rich Moore']",nm1601882,"['Phil Johnston (screenplay by)', 'Pamela Ribon (screenplay by)']","['nm1601882', 'nm0962596', 'edits#writers']","['John C. Reilly', 'Sarah Silverman', 'Gal Gadot']","['nm0000604', 'nm0798971', 'nm2933757']",71
tt3606752,['Brian Fee'],nm0270263,"['Brian Fee (original story by)', 'Ben Queen (original story by)']","['nm0270263', 'nm0703078', 'edits#writers']","['Owen Wilson', 'Cristela Alonzo', 'Chris Cooper']","['nm0005562', 'nm2242399', 'nm0177933']",59
tt1972591,['Guy Ritchie'],nm0005363,"['Joby Harold (screenplay by)', 'Guy Ritchie (screenplay by)']","['nm1703612', 'nm0005363', 'edits#writers']","['Charlie Hunnam', 'Astrid Bergès-Frisbey', 'Jude Law']","['nm0402271', 'nm2793591', 'nm0000179']",41
tt1335975,['Carl Rinsch'],nm0727754,"['Chris Morgan (screenplay)', 'Hossein Amini (screenplay)']","['nm0604555', 'nm0024925', 'edits#writers']","['Keanu Reeves', 'Hiroyuki Sanada', 'Ko Shibasaki']","['nm0000206', 'nm0760796', 'nm0793069']",28
tt4881806,['J.A. Bayona'],nm1291105,"['Derek Connolly', 'Colin Trevorrow']","['nm2081046', 'nm1119880', 'edits#writers']","['Chris Pratt', 'Bryce Dallas Howard', 'Rafe Spall']","['nm0695435', 'nm0397171', 'nm1245863']",51
tt2015381,['James Gunn'],nm0348181,"['James Gunn', 'Nicole Perlman']","['nm0348181', 'nm2270979', 'edits#writers']","['Chris Pratt', 'Vin Diesel', 'Bradley Cooper']","['nm0695435', 'nm0004874', 'nm0177896']",76
tt1228705,['Jon Favreau'],nm0269463,"['Justin Theroux (screenplay)', 'Stan Lee (Marvel comic book)']","['nm0857620', 'nm0498278', 'edits#writers']","['Robert Downey Jr.', 'Mickey Rourke', 'Gwyneth Paltrow']","['nm0000375', 'nm0000620', 'nm0000569']",57
tt1843866,"['Anthony Russo', 'Joe Russo']",nm0751577,"['Christopher Markus (screenplay by)', 'Stephen McFeely (screenplay by)']","['nm1321655', 'nm1321656', 'edits#writers']","['Chris Evans', 'Samuel L. Jackson', 'Scarlett Johansson']","['nm0262635', 'nm0000168', 'nm0424060']",70
tt2103281,['Matt Reeves'],nm0716257,"['Mark Bomback', 'Rick Jaffa']","['nm0093560', 'nm0415425', 'edits#writers']","['Gary Oldman', 'Keri Russell', 'Andy Serkis']","['nm0000198', 'nm0005392', 'nm0785227']",79
tt1735898,['Rupert Sanders'],nm2782185,"['Evan Daugherty (screenplay)', 'John Lee Hancock (screenplay)']","['nm2489193', 'nm0359387', 'edits#writers']","['Kristen Stewart', 'Chris Hemsworth', 'Charlize Theron']","['nm0829576', 'nm1165110', 'nm0000234']",57
