,0,1,2,3,4,5,6,7,8,9
tt5523010,The Nutcracker and the Four Realms,2018,PG,1h 39min,"['Adventure', 'Family', 'Fantasy']",2 November 2018,USA,5.5,,
tt1911658,Penguins of Madagascar,2014,PG,1h 32min,"['Animation', 'Adventure', 'Comedy']",26 November 2014,USA,6.7,,
tt1951264,The Hunger Games: Catching Fire,2013,PG-13,2h 26min,"['Action', 'Adventure', 'Mystery']",22 November 2013,USA,7.5,,
tt5095030,Ant-Man and the Wasp,2018,PG-13,1h 58min,"['Action', 'Adventure', 'Comedy']",6 July 2018,USA,7.1,,
tt0478970,Ant-Man,2015,PG-13,1h 57min,"['Action', 'Adventure', 'Comedy']",17 July 2015,USA,7.3,,
tt2224026,Home,2015,PG,1h 34min,"['Animation', 'Adventure', 'Comedy']",27 March 2015,USA,6.6,,
tt5028340,Mary Poppins Returns,2018,PG,2h 10min,"['Comedy', 'Family', 'Fantasy']",19 December 2018,USA,6.7,,
tt0448694,Puss in Boots,2011,PG,1h 30min,"['Animation', 'Adventure', 'Comedy']",28 October 2011,USA,6.6,,
tt1001526,Megamind,2010,PG,1h 35min,"['Animation', 'Action', 'Comedy']",5 November 2010,USA,7.2,,
tt2357291,Rio 2,2014,G,1h 41min,"['Animation', 'Adventure', 'Comedy']",11 April 2014,USA,6.3,,
tt0944835,Salt,2010,PG-13,1h 40min,"['Action', 'Mystery', 'Thriller']",23 July 2010,USA,6.4,,
tt1959490,Noah,2014,PG-13,2h 18min,"['Action', 'Adventure', 'Drama']",28 March 2014,USA,5.7,,
tt0983193,The Adventures of Tintin,2011,PG,1h 47min,"['Animation', 'Action', 'Adventure']",21 December 2011,USA,7.3,,
tt1815862,After Earth,2013,PG-13,1h 40min,"['Action', 'Adventure', 'Sci-Fi']",31 May 2013,USA,4.8,,
tt0790736,R.I.P.D.,2013,PG-13,1h 36min,"['Action', 'Adventure', 'Comedy']",19 July 2013,USA,5.6,,
tt2386490,How to Train Your Dragon: The Hidden World,2019,PG,1h 44min,"['Animation', 'Action', 'Adventure']",22 February 2019,USA,7.5,,
tt1673434,The Twilight Saga: Breaking Dawn - Part 2,2012,PG-13,1h 55min,"['Adventure', 'Drama', 'Fantasy']",16 November 2012,USA,5.5,,
tt3315342,Logan,2017,R,2h 17min,"['Action', 'Drama', 'Sci-Fi']",3 March 2017,USA,8.1,,
tt2692250,Night at the Museum: Secret of the Tomb,2014,PG,1h 38min,"['Adventure', 'Comedy', 'Family']",19 December 2014,USA,6.2,,
tt1680310,Harry Potter and the Deathly Hallows: Part II,2011,"Action, 
Adventure, 
Drama",Video game released 12 July 2011,"Action, 
Adventure, 
Drama",Video game released 12 July 2011,7.0,,,
tt1951265,The Hunger Games: Mockingjay - Part 1,2014,PG-13,2h 3min,"['Action', 'Adventure', 'Sci-Fi']",21 November 2014,USA,6.6,,
tt1571403,Harry Potter and the Deathly Hallows: Part I,2010,"Action, 
Adventure, 
Family",Video game released 16 November 2010,"Action, 
Adventure, 
Family",Video game released 16 November 2010,5.9,,,
tt1596343,Fast Five,2011,PG-13,2h 10min,"['Action', 'Adventure', 'Crime']",29 April 2011,USA,7.3,,
tt0100758,Teenage Mutant Ninja Turtles,1990,PG,1h 33min,"['Action', 'Adventure', 'Comedy']",30 March 1990,USA,6.8,,
tt1515091,Sherlock Holmes: A Game of Shadows,2011,PG-13,2h 9min,"['Action', 'Adventure', 'Mystery']",16 December 2011,USA,7.5,,
tt3874544,The Boss Baby,2017,PG,1h 37min,"['Animation', 'Adventure', 'Comedy']",31 March 2017,USA,6.3,,
tt0082186,Clash of the Titans,1981,PG,1h 58min,"['Action', 'Adventure', 'Family']",12 June 1981,USA,6.9,,
tt1679335,Trolls,2016,PG,1h 32min,"['Animation', 'Adventure', 'Comedy']",4 November 2016,USA,6.5,,
tt1446714,Prometheus,2012,R,2h 4min,"['Adventure', 'Mystery', 'Sci-Fi']",8 June 2012,USA,7.0,,
tt1194173,The Bourne Legacy,2012,PG-13,2h 15min,"['Action', 'Adventure', 'Thriller']",10 August 2012,USA,6.7,,
tt5758778,Skyscraper,2018,PG-13,1h 42min,"['Action', 'Adventure', 'Thriller']",13 July 2018,USA,5.8,,
tt0100802,Total Recall,1990,R,1h 53min,"['Action', 'Sci-Fi', 'Thriller']",1 June 1990,USA,7.5,,
tt2094766,Assassin's Creed,2016,PG-13,1h 55min,"['Action', 'Adventure', 'Sci-Fi']",21 December 2016,USA,5.7,,
